,age,workclass,education,education-num,marital-status,occupation,relationship,race,native-country,income_over_50K,over40hrs,gender-F/1-M/0
26222,37,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Female
12939,31,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Male
17474,28,Private,Bachelors,13,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,0,Male
46114,28,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,United-States,0,1,Female
18849,29,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,United-States,0,1,Male
15993,17,Private,11th,7,Never-married,Sales,Own-child,White,United-States,0,0,Female
20437,20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Female
24202,29,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,Columbia,0,0,Male
45510,23,Self-emp-inc,Bachelors,13,Never-married,Adm-clerical,Own-child,White,United-States,0,0,Female
27934,29,Private,Assoc-acdm,12,Never-married,Exec-managerial,Own-child,White,United-States,0,0,Male
10646,25,Private,1st-4th,2,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Philippines,0,0,Female
19904,31,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Spouse,White,Mexico,0,0,Male
34593,37,Private,7th-8th,4,Divorced,Exec-managerial,Not-in-family,White,United-States,0,1,Male
8424,37,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Female
48392,44,Private,9th,5,Married-civ-spouse,Machine-op-inspct,Spouse,Black,United-States,0,0,Male
34357,36,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
25301,20,Private,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,United-States,0,0,Male
25013,22,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,United-States,0,0,Male
38965,54,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
8002,42,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
26601,31,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,White,United-States,0,0,Male
23088,24,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Spouse,Black,United-States,0,0,Female
20000,21,Local-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Guatemala,0,0,Male
39601,56,Local-gov,Doctorate,16,Divorced,Prof-specialty,Not-in-family,White,United-States,0,0,Female
26734,48,Self-emp-not-inc,Bachelors,13,Married-spouse-absent,Sales,Own-child,White,United-States,1,1,Male
3785,25,Private,Bachelors,13,Never-married,Sales,Own-child,White,United-States,0,0,Female
11376,28,Private,Some-college,10,Never-married,Sales,Own-child,White,United-States,0,1,Male
13657,39,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,United-States,0,1,Female
43256,63,Private,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
18486,47,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,Black,United-States,1,0,Female
32990,36,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,United-States,0,1,Male
17625,26,Private,HS-grad,9,Never-married,Sales,Not-in-family,Other,United-States,0,0,Male
20970,31,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
18441,41,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Male
9497,23,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Female
26088,59,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,United-States,0,1,Male
1615,64,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,Black,United-States,1,0,Male
40995,18,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,Black,United-States,0,0,Female
8754,23,Private,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,United-States,0,0,Male
766,19,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Female
34304,63,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,1,Male
44853,17,Private,10th,6,Never-married,Handlers-cleaners,Own-child,White,United-States,0,0,Male
13330,61,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
10570,21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Female
11957,48,Private,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,0,1,Male
30944,30,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,United-States,0,0,Male
42388,43,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,1,Male
25623,69,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,1,Male
18232,77,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,0,0,Male
12541,50,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
36550,34,Private,HS-grad,9,Separated,Prof-specialty,Own-child,White,United-States,0,0,Female
9102,21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,White,United-States,0,0,Male
14492,25,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,United-States,0,0,Female
23154,73,Self-emp-not-inc,12th,8,Married-civ-spouse,Farming-fishing,Spouse,White,United-States,0,0,Male
5360,32,Private,Some-college,10,Never-married,Prof-specialty,Other-relative,White,United-States,0,0,Male
23528,36,Private,HS-grad,9,Divorced,Farming-fishing,Unmarried,White,United-States,0,1,Male
30097,36,Local-gov,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,United-States,0,0,Male
34279,46,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,United-States,0,0,Male
25980,28,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,United-States,0,1,Female
32850,64,Local-gov,HS-grad,9,Married-civ-spouse,Other-service,Spouse,Asian-Pac-Islander,United-States,1,0,Male
19413,43,Private,Some-college,10,Married-civ-spouse,Transport-moving,Spouse,White,United-States,0,0,Male
14636,56,Private,Some-college,10,Married-civ-spouse,Tech-support,Spouse,White,United-States,0,1,Male
21600,49,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
33768,28,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
15551,32,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,Other,United-States,0,0,Male
33362,23,Private,Assoc-voc,11,Never-married,Machine-op-inspct,Own-child,White,United-States,0,0,Male
43368,32,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,United-States,0,0,Female
39068,55,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Male
16044,40,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Spouse,Amer-Indian-Eskimo,United-States,0,1,Male
4727,57,Private,7th-8th,4,Divorced,Prof-specialty,Other-relative,White,United-States,0,0,Female
28789,37,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
40692,48,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,United-States,0,0,Female
32065,20,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,United-States,0,0,Female
7906,28,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,United-States,0,0,Male
4439,51,Self-emp-not-inc,Doctorate,16,Divorced,Sales,Not-in-family,White,United-States,1,1,Male
8908,34,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Male
5639,65,Private,Assoc-voc,11,Married-spouse-absent,Craft-repair,Not-in-family,White,United-States,0,0,Male
2178,34,Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,United-States,0,0,Male
8938,70,Local-gov,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,0,0,Male
27338,33,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,0,Male
37477,17,Private,10th,6,Never-married,Other-service,Own-child,White,United-States,0,0,Female
45760,33,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Spouse,White,United-States,0,1,Male
32991,26,Private,11th,7,Never-married,Other-service,Own-child,Black,United-States,0,0,Male
40154,40,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,1,Male
5861,51,Federal-gov,Some-college,10,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Male
22147,51,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Spouse,White,United-States,0,1,Male
1735,41,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Spouse,White,United-States,0,0,Female
29276,19,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,United-States,0,0,Female
42257,63,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Male
9940,42,Private,HS-grad,9,Married-civ-spouse,Other-service,Spouse,White,Greece,1,0,Male
4679,41,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,1,0,Male
19068,20,Private,Some-college,10,Never-married,Sales,Not-in-family,White,United-States,0,1,Female
10110,32,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,United-States,0,0,Female
14921,52,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Spouse,White,United-States,0,0,Male
10343,34,State-gov,HS-grad,9,Never-married,Other-service,Not-in-family,Black,United-States,0,0,Female
45716,45,Self-emp-inc,Prof-school,15,Never-married,Craft-repair,Not-in-family,White,United-States,1,1,Male
3233,18,Private,11th,7,Never-married,Other-service,Own-child,White,United-States,0,0,Male
8855,62,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,0,Male
29647,54,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Spouse,White,United-States,1,1,Male
1856,24,Self-emp-inc,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,United-States,0,1,Male
3604,55,Private,11th,7,Married-spouse-absent,Other-service,Unmarried,Black,Jamaica,0,0,Female
10173,48,Private,Some-college,10,Divorced,Sales,Not-in-family,White,United-States,0,0,Female
5411,39,Private,Some-college,10,Married-civ-spouse,Craft-repair,Spouse,White,United-States,0,1,Male
39849,41,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,United-States,1,0,Male
34966,51,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,United-States,0,1,Male
40695,20,Private,HS-grad,9,Never-married,Other-service,Other-relative,White,United-States,0,0,Male
39313,33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Spouse,Black,United-States,0,0,Male
38885,29,Local-gov,HS-grad,9,Never-married,Transport-moving,Own-child,White,United-States,0,0,Female
44829,68,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Spouse,White,United-States,0,0,Female
35059,36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Spouse,White,United-States,1,0,Male
